State,District,ULB Name,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Kerala,Ernakulam,Kochi (M Corp.),4070,1962,1966,1951,1837,140,2,0,1444,131,0
Kerala,Ernakulam,Koothattukulam,41,0,38,38,37,3,0,0,38,0,0
Kerala,Alappuzha,Kayamkulam (M),532,43,273,271,176,216,0,0,117,33,0
Kerala,Alappuzha,Mavelikkara (M),343,32,273,265,238,38,0,0,248,8,0
Kerala,Ernakulam,Kothamangalam (M),161,42,117,107,99,2,0,0,0,0,0
Kerala,Ernakulam,Maradu(M),160,159,0,0,0,0,0,1,0,0,0
Kerala,Ernakulam,Muvattupuzha (M),13,13,0,0,0,0,0,0,10,1,0
Kerala,Ernakulam,Paravur (M),428,23,225,173,47,180,0,0,170,0,0
Kerala,Ernakulam,Perumbavoor (M),135,4,102,100,99,29,0,0,35,28,0
Kerala,Ernakulam,Piravom,173,0,170,164,155,3,0,0,1,0,0
Kerala,Ernakulam,Thrikkakara(M),581,581,0,0,0,0,0,0,0,0,0
Kerala,Ernakulam,Thrippunithura (M),182,179,3,2,2,0,0,0,2,0,0
Kerala,Kannur,Anthoor,120,3,110,110,103,0,0,7,102,0,0
Kerala,Kannur,Iritty,177,0,171,171,164,2,0,4,0,0,0
Kerala,Kannur,Kannur (M),248,104,98,98,93,46,0,0,16,1,0
Kerala,Kannur,Kannur Cantonment (CB),0,0,0,0,0,0,0,0,0,0,0
Kerala,Kannur,Koothuparamba (M),48,0,47,47,47,0,0,1,46,1,0
Kerala,Kannur,Mattannur (M),63,23,39,29,29,1,0,0,45,1,0
Kerala,Kannur,Panoor,85,3,82,81,81,0,0,0,19,0,1
Kerala,Kannur,Payyannur (M),113,0,103,103,101,10,0,0,80,0,0
Kerala,Kannur,Sreekandapuram,212,8,198,197,0,6,0,0,40,0,0
Kerala,Kannur,Taliparamba (M),35,1,32,32,20,1,0,1,0,0,0
Kerala,Kannur,Thalassery (M),298,119,176,96,92,3,0,0,2,0,0
Lakshadweep,Lakshadweep,Kavaratti,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,East Khasi Hills,Shillong (CB),0,0,0,0,0,0,0,0,0,0,0
Meghalaya,East Khasi Hills,Shillong (MB),1,1,0,0,0,0,0,0,0,1,0
Meghalaya,Ribhoi,Nongpoh (TC),1,1,0,0,0,0,0,0,0,0,0
Meghalaya,East Garo Hills,Resubelpara (MB),0,0,0,0,0,0,0,0,0,0,2
Meghalaya,East Garo Hills,Williamnagar (MB),22,22,0,0,0,0,0,0,1,0,0
Meghalaya,west Garo Hills,Tura (M),241,20,166,6,0,55,0,0,0,0,0
Madhya Pradesh,Tikamgarh,Badagaon (NP),347,102,239,235,164,6,0,0,222,0,0
Madhya Pradesh,Tikamgarh,Baldeogarh (NP),325,5,310,0,0,10,0,0,312,0,0
Madhya Pradesh,Tikamgarh,Jatara (NP),779,501,272,241,123,6,0,0,222,1,2
Madhya Pradesh,Tikamgarh,Jeron Khalsa (NP),544,197,271,271,152,76,0,0,73,11,0
Madhya Pradesh,Tikamgarh,Kari (NP),492,355,134,30,1,2,1,0,136,23,0
Madhya Pradesh,Tikamgarh,Khargapur (NP),759,303,392,367,94,64,0,0,162,29,0
Madhya Pradesh,Tikamgarh,Lidhora Khas (NP),679,135,404,278,44,140,0,0,288,0,0
Madhya Pradesh,Tikamgarh,Niwari (NP),1911,4,1002,969,94,905,0,0,1011,12,1
Madhya Pradesh,Tikamgarh,Orchha (NP),222,85,136,0,0,1,0,0,131,1,0
Madhya Pradesh,Tikamgarh,Palera (NP),593,166,337,271,266,84,4,2,237,157,2
Madhya Pradesh,Tikamgarh,Prithvipur (NP),827,258,515,459,144,52,1,1,287,33,1
Madhya Pradesh,Tikamgarh,Tarichar Kalan (NP),796,242,424,210,157,14,2,114,156,0,1
Madhya Pradesh,Tikamgarh,Tikamgarh (M),2606,5,2496,1400,53,105,0,0,1331,69,0
Madhya Pradesh,Singrauli,Singrauli (M Corp.),12372,185,11952,11952,1924,230,1,4,11002,40,3
Madhya Pradesh,Sidhi,Churhat (NP),1052,9,972,972,535,62,1,8,585,0,0
Madhya Pradesh,Sidhi,Majhauli (NP),1801,380,1334,1291,348,84,1,2,1393,2,1
Madhya Pradesh,Sidhi,Rampur Naikin (NP),887,0,829,829,812,58,0,0,801,26,1
Madhya Pradesh,Sidhi,Sidhi (M),1345,2,1194,1194,1110,38,0,111,1200,0,4
Madhya Pradesh,Umaria,Chandia (NP),1831,362,1417,1410,1358,52,0,0,184,172,1
Madhya Pradesh,Umaria,Nowrozabad (Khodargama) (NP),1164,498,583,536,357,83,0,0,535,13,0
Madhya Pradesh,Umaria,Pali (NP),813,62,659,381,324,91,0,1,303,0,1
Madhya Pradesh,Umaria,Umaria (M),1693,1042,649,432,87,1,0,1,434,13,0
Madhya Pradesh,Shajapur,Akodia (NP),766,132,621,621,440,13,0,0,621,1,0
Madhya Pradesh,Shajapur,Maksi (NP),990,0,715,715,317,272,0,3,715,0,0
Madhya Pradesh,Shajapur,Pankhedi(Kalapipal),659,1,608,317,273,50,0,0,323,1,1
Madhya Pradesh,Shajapur,Polaykalan (NP),1045,470,563,216,158,12,0,0,401,0,0
Madhya Pradesh,Shajapur,Shajapur (M),1004,350,613,486,119,40,0,1,498,12,0
Madhya Pradesh,Shajapur,Shujalpur (M),993,106,870,870,277,17,0,0,442,0,0
Madhya Pradesh,Ujjain,Badnagar (M),508,9,489,465,211,10,0,0,375,2,0
Madhya Pradesh,Ujjain,Khacharod (M),968,0,932,932,523,35,1,0,920,2,2
Madhya Pradesh,Ujjain,Mahidpur (M),882,245,482,350,258,14,1,140,454,1,0
Madhya Pradesh,Ujjain,Makdon (NP),1627,0,1438,1438,879,101,0,88,1437,11,0
Madhya Pradesh,Ujjain,Nagda (M),2264,0,2166,2092,1186,98,0,0,1928,0,0
Madhya Pradesh,Ujjain,Tarana (NP),1648,282,1312,1035,810,51,0,3,275,1,2
Madhya Pradesh,Ujjain,Ujjain (M Corp.),10188,102,6368,6368,2621,3107,3,608,6368,9,6
Madhya Pradesh,Ujjain,Unhel (NP),720,128,564,564,436,28,0,0,565,0,0
Madhya Pradesh,Sehore,Ashta (M),1492,2,1037,1037,316,453,0,0,1037,0,0
Madhya Pradesh,Sehore,Budni (NP),1209,4,1186,1186,11,19,0,0,1185,0,0
Madhya Pradesh,Sehore,Ichhawar (NP),1017,306,678,678,241,32,1,0,753,2,0
Madhya Pradesh,Sehore,Jawar (NP),649,0,613,548,313,34,0,2,627,0,0
Madhya Pradesh,Sehore,Kothri (NP),1173,0,1065,1065,291,104,4,0,1065,0,4
Madhya Pradesh,Sehore,Nasrullaganj (NP),301,2,281,210,100,18,0,0,210,3,0
Madhya Pradesh,Sehore,Rehti (NP),374,14,346,346,80,14,0,0,346,0,0
Madhya Pradesh,Sehore,Sehore (M),1568,241,1303,1303,743,24,0,0,1520,0,1
Madhya Pradesh,Sehore,Shahganj Nagar Parishad,747,1,737,737,301,9,0,0,738,0,0
Madhya Pradesh,Seoni,Barghat (NP),1256,275,933,929,894,48,0,0,727,2,1
Madhya Pradesh,Seoni,Lakhnadon (NP),1480,861,525,318,317,94,0,0,691,0,0
Madhya Pradesh,Seoni,Seoni (M),2043,19,1984,1984,1846,40,0,0,1031,3,2
Madhya Pradesh,Vidisha,Basoda (M),1117,311,795,795,569,11,0,0,795,1,0
Madhya Pradesh,Vidisha,Kurwai (NP),919,0,892,892,482,27,0,0,596,0,0
Madhya Pradesh,Vidisha,Lateri (NP),1962,494,1246,1202,35,222,0,0,957,0,0
Madhya Pradesh,Vidisha,Shamshabad (NP),590,42,414,414,26,8,1,125,205,4,0
Madhya Pradesh,Vidisha,Sironj (M),1078,351,575,522,86,152,0,0,543,1,1
Madhya Pradesh,Vidisha,Vidisha (M),5035,1086,3840,3800,6,103,0,6,3837,0,0
Madhya Pradesh,Satna,Amarpatan (NP),1370,358,981,768,467,30,0,1,742,0,2
Madhya Pradesh,Satna,Birsinghpur (NP),2514,93,2383,2014,817,38,0,0,1043,0,0
Madhya Pradesh,Satna,Chitrakoot (NP),427,4,398,369,53,25,0,0,331,7,0
Madhya Pradesh,Satna,Jaitwara (NP),2064,198,1839,1832,332,26,1,0,1317,0,0
Madhya Pradesh,Satna,Kotar (NP),1206,0,1164,1164,662,42,0,0,457,0,0
Madhya Pradesh,Satna,Kothi (NP),841,0,829,827,454,12,0,0,160,0,0
Madhya Pradesh,Satna,Maihar (M),4462,1697,2739,2113,1314,18,2,6,2100,7,1
Madhya Pradesh,Satna,Nagod (NP),1055,110,925,925,715,20,0,0,906,0,0
Madhya Pradesh,Satna,New Ramnagar,1752,70,1660,343,219,19,3,0,827,34,2
Madhya Pradesh,Satna,Rampur Baghelan (NP),2095,408,1677,1546,856,7,3,0,1814,2,4
Madhya Pradesh,Satna,Satna (M Corp.),10028,2213,7803,7618,1059,10,1,1,7837,32,1
Madhya Pradesh,Satna,Unchahara (NP),2122,630,1376,449,36,116,0,0,1369,10,1
Madhya Pradesh,Sheopur,Badoda (NP),983,211,684,684,258,87,1,0,653,7,0
Madhya Pradesh,Sheopur,Sheopur (M),3423,416,2804,2804,131,203,0,0,2044,4,1
Madhya Pradesh,Sheopur,Vijaypur (NP),1683,6,1201,1201,548,476,0,0,610,0,4
Madhya Pradesh,Shivpuri,Badarwas (NP),1738,757,969,969,77,12,0,0,948,12,1
Madhya Pradesh,Shivpuri,Bairad,2690,834,1519,1519,195,335,2,0,1255,0,4
Madhya Pradesh,Shivpuri,Karera (NP),1013,197,772,715,356,44,0,0,426,1,4
Madhya Pradesh,Shivpuri,Khaniyadhana (NP),1315,265,1004,1001,130,46,0,0,692,0,0
Madhya Pradesh,Shivpuri,Kolaras (NP),1392,238,1128,872,754,26,0,0,1057,2,1
Madhya Pradesh,Shivpuri,Narwar (NP),2045,611,1334,1232,3,99,1,0,1145,5,0
Madhya Pradesh,Shivpuri,Pichhore (NP),998,5,882,881,353,111,0,0,612,0,1
Madhya Pradesh,Shivpuri,Shivpuri (M),10853,177,8745,7252,2165,1931,0,0,4484,2,5
Madhya Pradesh,Ratlam,Alot (NP),1152,249,757,757,598,0,0,146,757,2,0
Madhya Pradesh,Ratlam,Badawada (NP),757,73,665,665,329,19,0,0,665,0,1
Madhya Pradesh,Ratlam,Dhamnod (NP),719,1,676,676,517,38,0,4,355,13,0
Madhya Pradesh,Ratlam,Jaora (M),1549,388,1114,1114,457,42,0,5,1114,20,0
Madhya Pradesh,Ratlam,Namli (NP),690,0,687,687,166,3,0,0,687,0,0
Madhya Pradesh,Ratlam,Piploda (NP),646,0,622,622,39,24,0,0,622,0,4
Madhya Pradesh,Ratlam,Ratlam (M Corp.),3299,617,2170,2170,1002,448,1,63,2169,1,2
Madhya Pradesh,Ratlam,Sailana (NP),59,1,43,43,31,14,0,1,43,0,0
Madhya Pradesh,Ratlam,Tal (NP),1327,3,1168,1168,391,155,1,0,737,0,3
Madhya Pradesh,Rajgarh,Biaora (M),2397,0,2394,2394,542,3,0,0,1307,4,1
Madhya Pradesh,Rajgarh,Boda (NP),968,1,965,965,182,2,0,0,962,0,0
Madhya Pradesh,Rajgarh,Chhapiheda (NP),1102,188,900,900,62,12,2,0,900,1,0
Madhya Pradesh,Rajgarh,Jirapur (NP),772,179,575,572,309,18,0,0,500,3,1
Madhya Pradesh,Rajgarh,Khilchipur (NP),844,304,540,502,19,0,0,0,501,0,1
Madhya Pradesh,Rajgarh,Khujner (NP),647,12,611,610,326,24,0,0,610,0,1
Madhya Pradesh,Rajgarh,Kurawar,1528,79,1435,734,317,13,1,0,339,0,0
Madhya Pradesh,Rajgarh,Machalpur (NP),669,6,644,641,174,19,0,0,514,0,0
Madhya Pradesh,Rajgarh,Narsinghgarh (M),923,0,749,748,250,22,0,152,748,2,0
Madhya Pradesh,Rajgarh,Pachore (NP),944,0,925,925,619,19,0,0,700,0,0
Madhya Pradesh,Rajgarh,Rajgarh (NP),815,88,502,499,371,225,0,0,491,9,0
Madhya Pradesh,Rajgarh,Sarangpur (M),1799,800,739,739,385,5,1,254,744,0,0
Madhya Pradesh,Rajgarh,Suthaliya (NP),705,41,664,662,422,0,0,0,592,0,0
Madhya Pradesh,Rajgarh,Talen (NP),928,1,921,921,374,6,0,0,927,0,0
Madhya Pradesh,Sagar,Banda (NP),835,0,834,834,771,1,0,0,817,0,0
Madhya Pradesh,Sagar,Bina Etawa (M),1624,359,761,756,665,469,35,0,542,37,1
Madhya Pradesh,Sagar,Deori (M),1746,674,1036,347,307,36,0,0,950,0,1
Madhya Pradesh,Sagar,Garhakota (M),1351,373,834,632,132,142,2,0,605,1,0
Madhya Pradesh,Sagar,Khurai (M),3748,358,3061,1976,686,304,2,23,1454,666,0
Madhya Pradesh,Sagar,Makroniya Bujurg,1917,88,1726,1726,515,103,0,0,506,114,0
Madhya Pradesh,Sagar,Rahatgarh (NP),1844,419,1367,925,472,55,3,0,1234,5,0
Madhya Pradesh,Sagar,Rehli (M),2433,4,1322,1322,903,11,1,1095,1023,1,0
Madhya Pradesh,Sagar,Sagar (M Corp.),8691,4,6278,6278,4112,1552,4,853,6278,28,2
Madhya Pradesh,Sagar,Sagar Cantt (CB),2,2,0,0,0,0,0,0,0,0,1
Madhya Pradesh,Sagar,Shahgarh (NP),2164,27,2113,2057,1856,22,1,1,920,75,1
Madhya Pradesh,Sagar,Shahpur (NP),1036,317,719,153,139,0,0,0,159,5,0
Madhya Pradesh,Neemuch,Athana,768,20,723,596,261,25,0,0,598,76,0
Madhya Pradesh,Neemuch,Diken (NP),1551,342,1043,908,273,162,1,3,956,215,0
Madhya Pradesh,Neemuch,Jawad (NP),618,51,443,430,214,123,0,1,422,42,0
Madhya Pradesh,Neemuch,Jiran (NP),892,0,849,849,370,43,0,0,849,0,0
Madhya Pradesh,Neemuch,Kukdeshwar (NP),1192,0,1170,1170,673,22,0,0,961,13,0
Madhya Pradesh,Neemuch,Manasa (NP),1372,0,1176,1090,26,194,1,1,1090,0,0
Madhya Pradesh,Neemuch,Nayagaon,516,0,385,385,202,131,0,0,383,8,0
Madhya Pradesh,Neemuch,Neemuch (M),3250,0,2004,2004,292,928,0,318,2014,0,0
Madhya Pradesh,Neemuch,Rampura (NP),1428,13,1049,1003,611,366,0,0,997,3,0
Madhya Pradesh,Neemuch,Ratangarh (NP),827,0,784,784,659,43,0,0,820,3,0
Madhya Pradesh,Neemuch,Sarwaniya Maharaj,700,131,567,566,9,2,0,0,683,4,0
Madhya Pradesh,Neemuch,Singoli (NP),472,2,419,419,329,51,0,0,342,32,0
Madhya Pradesh,Narsimhapur,Chichli,1783,780,998,998,553,5,0,0,999,0,0
Madhya Pradesh,Narsimhapur,Gadarwara (M),2870,563,2183,2183,496,124,0,0,2184,30,0
Madhya Pradesh,Narsimhapur,Gotegaon (NP),1680,1444,210,210,187,25,0,1,1646,0,0
Madhya Pradesh,Narsimhapur,Kareli (M),1121,1,1082,1082,904,37,0,1,1082,0,0
Madhya Pradesh,Narsimhapur,Narsimhapur (M),1594,0,1570,1570,1015,24,0,0,1570,0,0
Madhya Pradesh,Narsimhapur,Saikheda (NP),1098,1015,66,2,0,17,0,0,860,0,0
Madhya Pradesh,Narsimhapur,Salichouka(Bawaikalan),1377,717,655,655,48,5,0,0,655,0,0
Madhya Pradesh,Narsimhapur,Tendukheda (NP),2162,1,1726,1600,0,433,0,2,1600,0,0
Madhya Pradesh,Morena,Ambah (M),1360,160,809,761,533,390,1,0,553,5,1
Madhya Pradesh,Morena,Bamor (NP),3740,1162,1618,1591,965,959,1,0,996,0,0
Madhya Pradesh,Morena,Jhundpura (NP),3167,52,648,648,387,2286,0,181,367,22,0
Madhya Pradesh,Morena,Joura (NP),4014,1558,1432,1386,1063,1022,1,1,1387,7,0
Madhya Pradesh,Morena,Kailaras (NP),12240,11010,711,682,536,518,0,1,520,0,0
Madhya Pradesh,Morena,Morena (M),5709,75,3386,3379,2643,1715,0,533,3379,1,4
Madhya Pradesh,Morena,Porsa (M),8895,1,1010,1009,811,7811,0,73,679,4,1
Madhya Pradesh,Morena,Sabalgarh (M),10152,8301,1714,1629,518,134,0,3,906,3,2
Madhya Pradesh,Mandsaur,Bhanpura (NP),1228,6,743,743,358,478,1,0,743,11,1
Madhya Pradesh,Mandsaur,Garoth (NP),1356,206,755,755,544,395,0,0,690,8,0
Madhya Pradesh,Mandsaur,Malhargarh (NP),1015,0,515,515,189,494,0,6,515,0,0
Madhya Pradesh,Mandsaur,Mandsaur (M),2976,0,2402,2402,1759,573,0,1,1923,7,2
Madhya Pradesh,Mandsaur,Nagri (NP),1048,45,571,528,404,432,0,0,530,1,0
Madhya Pradesh,Mandsaur,Narayangarh (NP),751,33,500,500,366,218,0,0,500,0,0
Madhya Pradesh,Mandsaur,Piplya Mandi (NP),890,0,688,688,244,202,0,0,658,30,0
Madhya Pradesh,Mandsaur,Shamgarh (NP),1175,126,743,743,663,306,0,0,743,0,0
Madhya Pradesh,Mandsaur,Sitamau (NP),782,39,551,519,352,192,0,0,192,12,1
Madhya Pradesh,Mandsaur,Suwasara (NP),1006,0,863,863,332,120,0,23,556,39,0
Madhya Pradesh,Mandla,Bamhani (NP),1731,29,1205,1009,361,483,0,14,971,0,0
Madhya Pradesh,Mandla,Bichhiya (NP),2548,0,1203,1203,1101,1345,0,0,1176,4,0
Madhya Pradesh,Mandla,Mandla (M),3222,0,2180,2180,587,1041,1,0,1740,0,1
Madhya Pradesh,Mandla,Nainpur (M),1346,73,600,572,202,672,0,1,535,0,0
Madhya Pradesh,Mandla,Niwas (NP),1098,256,500,500,131,342,0,0,500,2,0
Madhya Pradesh,Khargaon,Barwaha (M),837,170,665,665,108,2,0,0,665,1,0
Madhya Pradesh,Khargaon,Bhikangaon (NP),910,107,783,783,239,20,0,0,549,1,0
Madhya Pradesh,Khargaon,KARAHI PADLIYA KHURD,2138,1243,757,757,440,138,0,0,751,0,1
Madhya Pradesh,Khargaon,Kasrawad (NP),1554,530,1000,1000,870,21,2,1,1004,0,1
Madhya Pradesh,Khargaon,Khargone (M),3808,0,3531,3531,1036,54,0,223,3531,0,0
Madhya Pradesh,Khargaon,Maheshwar (NP),905,0,649,649,569,10,0,246,649,0,0
Madhya Pradesh,Khargaon,Mandleshwar (NP),490,0,483,483,353,7,0,0,483,0,0
Madhya Pradesh,Khargaon,Sanawad (M),769,3,735,735,218,22,0,9,731,0,0
Madhya Pradesh,Raisen,Badi (NP),1269,1,1254,1254,902,14,0,0,1005,1,2
Madhya Pradesh,Raisen,Baraily (NP),661,34,616,379,330,0,0,11,604,0,0
Madhya Pradesh,Raisen,Begamganj (M),1490,224,1241,1050,697,24,1,0,1145,12,0
Madhya Pradesh,Raisen,Gairatganj (NP),883,198,685,0,0,0,0,0,736,4,0
Madhya Pradesh,Raisen,Mandideep (M),1360,834,525,4,3,0,1,0,463,1,1
Madhya Pradesh,Raisen,Obedullaganj (NP),788,50,724,539,404,14,0,0,720,0,0
Madhya Pradesh,Raisen,Raisen (M),1807,94,1699,1699,377,13,0,1,1488,19,0
Madhya Pradesh,Raisen,Sanchi (NP),679,318,354,0,0,7,0,0,279,0,0
Madhya Pradesh,Raisen,Silwani (NP),1516,1,1496,1496,895,19,0,0,1138,0,0
Madhya Pradesh,Raisen,Sultanpur (NP),796,0,770,770,175,11,0,15,770,0,0
Madhya Pradesh,Raisen,Udaipura (NP),969,1,918,918,264,50,0,0,645,0,0
Madhya Pradesh,Panna,Ajaigarh (NP),1247,208,1023,770,43,13,1,2,341,2,1
Madhya Pradesh,Panna,Amanganj (NP),1344,78,1246,1246,12,20,0,0,1271,0,0
Madhya Pradesh,Panna,Devendranagar (NP),1032,340,692,692,260,0,0,0,699,1,0
Madhya Pradesh,Panna,Kakarhati (NP),555,121,433,433,176,0,1,0,434,0,0
Madhya Pradesh,Panna,Panna (M),1599,223,1121,1108,839,255,0,0,1070,24,0
Madhya Pradesh,Panna,Pawai (NP),2045,17,2006,2006,872,21,1,0,1980,1,0
Madhya Pradesh,Rewa,Baikunthpur (NP),592,82,503,503,447,7,0,0,508,10,1
Madhya Pradesh,Rewa,Chakghat (NP),992,346,641,641,545,5,0,0,636,3,0
Madhya Pradesh,Rewa,Govindgarh (NP),999,195,777,775,558,26,1,0,908,0,0
Madhya Pradesh,Rewa,Gurh (NP),1020,170,812,812,666,22,0,16,813,0,2
Madhya Pradesh,Rewa,Hanumana (NP),1444,1,1401,1401,1370,42,0,0,1400,0,0
Madhya Pradesh,Rewa,Mangawan (NP),1135,745,363,363,280,26,0,1,347,1,1
Madhya Pradesh,Rewa,Mauganj (NP),1490,1,1440,1440,1235,49,0,0,1442,11,2
Madhya Pradesh,Rewa,Naigarhi (NP),1389,2,1360,1360,1246,26,0,1,1338,31,0
Madhya Pradesh,Rewa,Rewa (M Corp.),7497,145,5127,5127,1273,1013,0,1212,5114,0,6
Madhya Pradesh,Rewa,Semaria (NP),1300,28,973,0,0,276,22,1,537,39,1
Madhya Pradesh,Rewa,Sirmour (NP),1313,797,496,495,362,2,0,18,501,1,1
Madhya Pradesh,Rewa,Teonthar (NP),1413,547,425,374,7,435,1,5,370,2,1
Madhya Pradesh,Khandwa,Chhanera (NP),1440,0,829,823,541,580,1,30,823,0,1
Madhya Pradesh,Khandwa,Khandwa (M Corp.),8949,2573,5855,5674,5568,518,0,3,5401,1,1
Madhya Pradesh,Khandwa,Mundi (NP),2243,58,967,919,850,1217,1,0,653,1,0
Madhya Pradesh,Khandwa,Omkareshwar (NP),1739,0,1020,1020,236,718,1,0,1020,0,11
Madhya Pradesh,Khandwa,Pandhana (NP),1452,19,1113,514,435,320,0,0,543,0,1
Madhya Pradesh,Jabalpur,Barela (NP),1376,249,787,622,103,339,1,0,658,5,0
Madhya Pradesh,Jabalpur,Bhedaghat (NP),1452,0,619,619,542,833,0,0,619,0,0
Madhya Pradesh,Jabalpur,Jabalpur (M Corp.),42308,0,41092,41092,22009,1214,1,1,41094,0,2
Madhya Pradesh,Jabalpur,Jabalpur Cantt (CB),3,3,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Jabalpur,Katangi (NP),2733,519,1483,523,300,731,0,0,1482,1,0
Madhya Pradesh,Jabalpur,Majholi (NP),1147,6,501,501,117,639,0,1,501,1,1
Madhya Pradesh,Jabalpur,Panagar (M),2619,14,1415,1412,1127,577,1,612,1048,0,0
Madhya Pradesh,Jabalpur,Patan (NP),1033,341,626,626,141,66,0,0,626,1,0
Madhya Pradesh,Jabalpur,Shahpura (NP),1622,687,734,734,475,201,0,0,663,0,1
Madhya Pradesh,Jabalpur,Sihora (M),2798,66,2566,2529,758,165,1,0,330,10,1
Madhya Pradesh,Indore,Betma (NP),703,0,336,336,137,312,0,55,336,0,0
Madhya Pradesh,Indore,Depalpur (NP),1211,1,407,407,1,803,0,0,395,0,0
Madhya Pradesh,Indore,Hatod (NP),1868,64,524,521,358,1276,1,3,517,0,0
Madhya Pradesh,Indore,Indore (M Corp.),30758,3,12343,12343,4891,2274,0,16138,12343,1,1
Madhya Pradesh,Indore,Manpur (NP),1159,254,411,405,1,494,0,0,478,0,0
Madhya Pradesh,Hoshangabad,Babai (NP),2116,338,1187,1175,752,590,1,0,961,1,0
Madhya Pradesh,Indore,Mhow Cantt (CB),0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Hoshangabad,Hoshangabad (M),4826,0,3500,3500,2301,1324,1,1,3500,0,2
Madhya Pradesh,Indore,Mhowgaon (NP),1149,53,684,644,456,412,0,0,632,0,0
Madhya Pradesh,Hoshangabad,Itarsi (M),3187,398,1322,1313,993,1451,1,15,1336,11,0
Madhya Pradesh,Indore,Rau (NP),1817,100,1288,1288,164,429,0,0,1042,0,0
Madhya Pradesh,Indore,Runji-Gautampura (NP),522,42,307,307,175,173,0,0,306,0,0
Madhya Pradesh,Hoshangabad,Pachmarhi Cantt (CB),0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,Hoshangabad,Pipariya (M),1423,131,456,456,441,821,1,14,447,0,1
Madhya Pradesh,Indore,Sawer (NP),580,92,357,357,272,120,0,11,357,0,0
Madhya Pradesh,Hoshangabad,Seoni-Malwa (M),2767,2077,646,646,525,43,0,1,643,15,0
Madhya Pradesh,Hoshangabad,Sohagpur (NP),1305,1,789,789,3,433,0,82,789,2,0
Madhya Pradesh,Harda,Harda (M),3576,101,1147,1146,1038,2324,0,4,1146,0,8
Madhya Pradesh,Hoshangabad,Vankhedi,2728,34,2240,2225,421,451,0,3,1538,1,0
Madhya Pradesh,Harda,Khirkiya (NP),3252,1922,873,873,754,457,0,0,789,0,0
Madhya Pradesh,Harda,Timarni (NP),1380,1,578,578,567,795,0,6,578,0,0
Madhya Pradesh,Gwalior,Antari (NP),1253,119,742,741,480,392,0,0,625,0,0
Madhya Pradesh,Gwalior,Bhitarwar (NP),2687,283,913,831,47,1286,0,205,830,1,0
Madhya Pradesh,Gwalior,Bilaua (NP),2409,49,934,933,313,1426,0,0,921,0,0
Madhya Pradesh,Gwalior,Dabra (M),8344,1215,5761,5647,486,1368,0,0,4245,0,2
Madhya Pradesh,Gwalior,Gwalior (M Corp.),18461,18,18338,18338,1307,101,4,0,18339,0,3
Madhya Pradesh,Gwalior,Morar Cantt (CB),11,11,0,0,0,0,0,0,0,1,0
Madhya Pradesh,Gwalior,Pichhore (NP),1075,1,944,942,77,130,0,0,700,2,0
Madhya Pradesh,Jhabua,Jhabua (M),1058,461,392,356,160,205,0,0,356,0,1
Madhya Pradesh,Jhabua,Meghnagar,1726,643,571,571,290,512,0,0,637,1,0
Madhya Pradesh,Jhabua,Petlawad (NP),1337,37,553,516,316,747,0,0,433,0,1
Madhya Pradesh,Jhabua,Ranapur (NP),897,258,501,501,229,137,1,0,502,0,1
Madhya Pradesh,Jhabua,Thandla (NP),505,6,357,295,68,142,0,0,294,0,0
Madhya Pradesh,Guna,Aron (NP),1634,117,858,858,638,659,0,0,818,0,0
Madhya Pradesh,Guna,Chachaura-Binaganj (NP),3297,6,1793,1792,1020,1495,0,3,1134,23,1
Madhya Pradesh,Guna,Guna (M),8117,3298,3547,3300,1871,1232,5,35,3177,4,2
Madhya Pradesh,Guna,Kumbhraj (NP),2224,19,1446,1446,314,758,1,0,723,0,0
Madhya Pradesh,Guna,Raghogarh -Vijaypur (M),6623,47,6294,6075,1963,281,1,0,4292,12,1
Madhya Pradesh,Dindori,Dindori (NP),3259,0,1191,793,719,2067,0,1,1136,2,0
Madhya Pradesh,Dindori,Shahpura (NP),2393,1694,567,480,454,132,0,0,550,2,1
Madhya Pradesh,Dhar,Badnawar (NP),806,44,624,624,578,136,0,2,624,0,2
Madhya Pradesh,Dhar,Dahi (NP),1288,162,760,758,568,365,1,0,766,0,0
Madhya Pradesh,Dhar,Dhamnod (NP),2218,505,1145,1145,1072,568,0,0,697,0,0
Madhya Pradesh,Dhar,Dhar (M),5009,33,4274,4274,1118,701,0,1,4307,0,1
Madhya Pradesh,Dhar,Dharampuri (NP),1965,32,1400,1311,1175,533,0,0,962,2,0
Madhya Pradesh,Dhar,Kukshi (NP),1114,2,650,650,575,461,1,0,542,7,1
Madhya Pradesh,Dhar,Manawar (M),899,351,178,177,154,369,1,0,500,0,0
Madhya Pradesh,Dhar,Mandav (NP),1332,31,1010,960,433,291,0,0,1010,0,0
Madhya Pradesh,Dhar,Pithampur (M),4746,1234,2970,2964,1,243,0,299,2964,15,0
Madhya Pradesh,Dhar,Rajgarh (NP),1781,368,1217,846,751,196,0,0,1210,1,0
