State,District,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Gujarat,Morbi,17201,8,11796,11795,0,1006,1,4390,11798,0,2
West Bengal,Bankura,209,195,0,0,0,0,4,10,79,2,1
Jharkhand,Gumla,2864,0,2732,2732,2682,111,1,20,2738,0,0
Jharkhand,Hazaribag,3728,28,2578,2578,2525,716,2,404,2597,6,5
Karnataka,Chikmagalur,2660,44,1883,1875,1676,207,2,524,1388,116,0
Chhattisgarh,Rajnandgaon,25681,581,20194,20064,7804,4902,0,4,20079,14,3
Goa,North Goa,1255,21,1218,1181,1167,9,2,5,364,452,1
Jammu & Kashmir,Baramula,7839,3062,3638,3224,312,1129,0,10,653,241,0
Gujarat,Narmada,4944,4,419,419,0,0,0,4521,419,0,1
West Bengal,Barddhaman,7440,5875,54,54,1,1237,10,264,1247,9,3
Jharkhand,Jamtara,4602,1,3694,3694,3644,156,0,751,3696,1,1
Jharkhand,Khunti,2345,2,2218,2218,2172,1,1,123,2220,1,1
Karnataka,Chitradurga,14948,183,13366,13193,9247,1370,4,25,6118,2333,0
Chhattisgarh,Sarguja,9093,10,8388,8384,411,333,1,361,8398,3,1
Goa,South Goa,1338,58,1246,1236,1234,19,0,15,316,802,1
Jammu & Kashmir,Doda,1024,25,540,538,180,244,0,215,498,13,0
Jammu & Kashmir,Ganderbal,295,4,289,209,15,2,0,0,71,0,0
Gujarat,Navsari,14797,5,8031,8031,0,1231,0,5530,8031,0,0
Gujarat,Panch Mahals,16024,10,11531,11530,0,643,2,3838,11533,0,5
Uttarakhand,Almora,440,28,353,293,82,15,4,40,88,2,3
West Bengal,Birbhum,10776,3210,0,0,0,0,26,7540,8,3,131
West Bengal,Dakshin Dinajpur,3344,2643,0,0,0,0,4,697,4,1,0
Jharkhand,Kodarma,7893,11,7381,7381,5060,91,2,408,7383,1,0
Jharkhand,Latehar,1766,1,1689,1689,739,55,0,21,1713,1,7
Karnataka,Dakshin Kannada,1265,34,962,945,687,39,0,230,929,17,0
Karnataka,Davanagere,15161,533,9613,9003,3971,4968,1,46,6018,535,0
Chhattisgarh,Sukma,3292,1419,1873,1872,1497,0,0,0,3109,0,0
Chhattisgarh,Surajpur,5955,317,4719,3998,1454,881,4,34,4596,40,2
Jammu & Kashmir,Jammu,14170,108,11094,6054,2092,1495,0,1473,3247,555,1
Jammu & Kashmir,Kargil,767,431,304,70,4,32,0,0,120,0,0
Gujarat,Patan,18408,17,13313,13313,5,1062,0,4016,13316,0,0
Gujarat,Porbandar,13592,3,7485,7475,0,1484,0,4620,7475,0,0
Gujarat,Rajkot,49162,13,40556,40552,0,4855,1,3737,40509,1,0
Uttarakhand,Bageshwar,1015,14,643,643,267,334,0,24,600,5,0
Uttarakhand,Chamoli Gopeshwar,2114,309,1715,1368,144,47,3,40,981,27,0
Uttarakhand,Champawat,314,81,232,194,87,0,0,1,130,2,0
West Bengal,Darjeeling,52,49,0,0,0,0,2,1,2,0,1
West Bengal,Haora,491,424,0,0,0,0,1,66,0,0,1
West Bengal,Hugli-Chinsurah,5856,4078,1749,1002,730,2,3,24,4790,7,1
Jharkhand,Lohardaga,2255,1,1983,1983,1962,51,1,219,1996,0,0
Jharkhand,Pakaur,2629,3,2387,2387,2206,187,0,52,2387,0,1
Karnataka,Gadag-Betigeri,27589,1828,25266,24098,16633,481,5,9,6531,5954,0
Chhattisgarh,Uttar Bastar kanker,5283,1504,3535,2084,1249,234,6,4,4816,21,0
Jammu & Kashmir,Kathua,3899,39,2888,2271,157,710,1,261,936,272,0
Jammu & Kashmir,Kishtwar,613,59,512,392,1,42,0,0,188,15,0
Gujarat,Sabar Kantha,10525,14,7263,7263,0,0,0,3248,7266,2,7
Gujarat,Surat,15282,25,12799,12792,1,1336,0,1122,12798,1,3
Uttarakhand,Dehradun,2907,43,1998,1989,361,859,2,5,926,10,3
